,event_id,case_type,time,centroid_lat,centroid_lon,speed_kmh,direction_deg,major_axis_km,minor_axis_km,orientation_deg,age,cell_volume,cell_top,projected_area,mean_area,max_dbz,height_max_dbz,VIL,storm_intensity,hail_mass,hail_mass_aloft,reflectivity_threshold,hail_probability_pct
127,93,history,2025-11-23 23:42:00,-28.686,154.1989,28.4836,52.8954,4.01635,1.20366,42.7411,9240.0,46.4062,5.125,15.1875,12.375,43.452,1.75,3.42606,0.0,0.0,0.0,35.0,0.0
128,93,history,2025-11-23 23:47:00,-28.6564,154.247,53.0267,56.4438,3.55902,1.81111,38.5521,9240.0,59.4844,5.875,20.25,13.2188,44.454,1.75,3.84905,0.0,0.0,0.0,35.0,0.0
129,94,history,2025-11-23 23:37:00,-28.0421,154.4495,51.8672,37.5373,3.98448,1.07848,15.5399,9240.0,30.375,5.125,13.5,8.1,45.924,1.75,3.8665,0.0,0.0303641,0.0,35.0,0.0
130,94,history,2025-11-23 23:42:00,-28.0106,154.4851,46.0199,37.1688,4.22215,1.10258,13.1824,9240.0,32.0625,5.125,14.625,8.55,44.14,1.75,3.27609,0.0,0.0,0.0,35.0,0.0
131,95,history,2025-11-23 23:37:00,-27.8448,154.9099,51.2821,27.146,5.29665,3.1776,25.6084,2100.0,151.875,6.625,52.875,28.9286,51.84,4.0,10.0841,2.0,0.286694,0.0,35.0,0.0
132,95,history,2025-11-23 23:42:00,-27.8145,154.9457,29.2501,47.0463,7.33336,3.29612,29.6258,2100.0,233.297,6.625,75.9375,44.4375,57.556,4.0,16.4524,2.0,0.561255,0.0,35.0,0.0
133,95,history,2025-11-23 23:47:00,-27.7885,154.9792,41.4712,48.4034,8.31422,3.55332,23.2603,2100.0,282.234,6.625,92.8125,62.7188,55.056,2.5,11.6565,2.0,0.370302,0.0,35.0,0.0
134,95,history,2025-11-23 23:52:00,-27.7669,155.0164,53.8415,51.784,8.44121,3.41503,21.3363,2100.0,251.016,7.375,90.5625,47.8125,53.364,3.25,12.5751,2.0,0.384606,0.0,35.0,10.0
135,95,history,2025-11-23 23:57:00,-27.7637,155.0444,46.588,58.9033,8.12357,2.93141,20.2211,2100.0,273.375,8.125,74.8125,45.5625,59.852,4.0,29.5999,2.0,1.15492,0.266487,35.0,50.0
136,95,history,2025-11-24 00:02:00,-27.734,155.0806,46.2031,59.3348,8.52875,3.52693,11.3952,2100.0,361.125,8.125,94.5,60.1875,62.516,4.75,45.6966,3.0,1.99156,1.36787,35.0,60.0
137,95,current,2025-11-24 00:07:00,-27.7183,155.1151,46.4868,59.852,7.8044,4.01487,13.283,2100.0,366.188,9.625,98.4375,48.825,63.672,3.25,37.5621,2.0,1.59655,0.0,35.0,30.0
138,95,forecast,2025-11-24 00:12:00,-27.7008,155.1492,46.4868,59.852,8.14451,4.18984,13.283,2100.0,366.188,9.625,98.4375,48.825,63.672,3.25,37.5621,2.0,1.59655,0.0,35.0,30.0
139,95,forecast,2025-11-24 00:17:00,-27.6833,155.1832,46.4868,59.852,8.47098,4.35778,13.283,2100.0,366.188,9.625,98.4375,48.825,63.672,3.25,37.5621,2.0,1.59655,0.0,35.0,30.0
140,95,forecast,2025-11-24 00:22:00,-27.6658,155.2172,46.4868,59.852,8.78533,4.5195,13.283,2100.0,366.188,9.625,98.4375,48.825,63.672,3.25,37.5621,2.0,1.59655,0.0,35.0,30.0
141,95,forecast,2025-11-24 00:27:00,-27.6482,155.2512,46.4868,59.852,9.08881,4.67562,13.283,2100.0,366.188,9.625,98.4375,48.825,63.672,3.25,37.5621,2.0,1.59655,0.0,35.0,30.0
142,95,forecast,2025-11-24 00:32:00,-27.6307,155.2852,46.4868,59.852,9.38248,4.82669,13.283,2100.0,366.188,9.625,98.4375,48.825,63.672,3.25,37.5621,2.0,1.59655,0.0,35.0,30.0
143,95,forecast,2025-11-24 00:37:00,-27.6132,155.3191,46.4868,59.852,9.66723,4.97318,13.283,2100.0,366.188,9.625,98.4375,48.825,63.672,3.25,37.5621,2.0,1.59655,0.0,35.0,30.0
144,96,history,2025-11-23 23:37:00,-27.8027,154.7879,51.2062,27.4508,7.0156,3.08812,8.24332,8839.0,322.734,8.875,68.0625,43.0312,54.972,2.5,21.6018,2.0,0.709052,0.308879,35.0,50.0
145,96,history,2025-11-23 23:42:00,-27.7849,154.793,44.9256,23.6514,8.26971,5.15299,49.9177,8839.0,643.359,10.375,133.875,71.4844,56.868,1.75,34.2174,3.0,1.23876,2.47725,35.0,80.0
146,99,history,2025-11-23 23:47:00,-27.7986,154.7439,33.4055,34.3695,6.95924,2.03253,8.55696,3917.0,226.125,9.625,44.4375,27.4091,55.398,3.25,26.588,3.0,0.909971,1.76877,35.0,70.0
147,100,history,2025-11-23 23:47:00,-27.7548,154.8282,33.2246,33.3177,9.3579,4.84078,39.0332,1800.0,650.109,8.875,142.312,86.6813,59.844,2.5,32.6873,3.0,1.25525,0.672707,35.0,60.0
148,100,history,2025-11-23 23:52:00,-27.7317,154.8456,44.6896,37.7634,11.6192,5.31637,52.0966,1800.0,818.016,8.875,194.062,109.069,57.588,3.25,29.8798,3.0,1.10414,0.379879,35.0,60.0
149,100,history,2025-11-23 23:57:00,-27.709,154.8878,39.0908,43.5899,11.5953,5.68247,57.6831,1800.0,832.359,9.625,207.0,100.892,59.488,2.5,34.9138,3.0,1.30463,1.86785,35.0,60.0
150,100,history,2025-11-24 00:02:00,-27.6775,154.9248,49.7285,48.7445,11.8737,6.93658,47.7726,1800.0,939.094,8.875,258.75,125.213,57.588,3.25,34.5046,3.0,1.30532,2.1463,35.0,80.0
151,106,history,2025-11-23 23:52:00,-27.5227,154.9906,45.3458,34.0266,4.18171,2.14086,166.488,4896.0,61.1719,5.125,28.125,20.3906,43.86,2.5,2.65627,0.0,0.0,0.0,35.0,0.0
152,106,history,2025-11-23 23:57:00,-27.5628,154.9947,45.483,40.6976,3.50672,2.45083,157.105,4896.0,77.2031,5.875,27.0,20.5875,47.476,3.25,4.93671,2.0,0.110884,0.0,35.0,0.0
153,111,history,2025-11-23 23:57:00,-27.4821,155.023,45.6309,39.5125,3.51543,1.83357,13.5151,5128.0,42.1875,5.125,20.25,14.0625,43.472,2.5,2.62485,0.0,0.0,0.0,35.0,0.0
154,116,history,2025-11-24 00:02:00,-27.5414,155.0174,41.5961,47.5039,6.86346,4.61745,35.0865,4594.0,351.422,8.875,99.5625,52.0625,49.492,3.25,8.7068,2.0,0.184031,0.0,35.0,0.0
155,118,current,2025-11-24 00:07:00,-27.6479,154.9563,39.0922,52.7163,12.1112,6.88925,43.214,4441.0,1000.69,8.875,262.125,133.425,61.932,1.75,50.7826,3.0,2.15029,1.92296,35.0,60.0
156,118,forecast,2025-11-24 00:12:00,-27.6302,154.9826,39.0922,52.7163,12.5826,7.15743,43.214,4441.0,1000.69,8.875,262.125,133.425,61.932,1.75,50.7826,3.0,2.15029,1.92296,35.0,60.0
157,118,forecast,2025-11-24 00:17:00,-27.6124,155.0089,39.0922,52.7163,13.037,7.41591,43.214,4441.0,1000.69,8.875,262.125,133.425,61.932,1.75,50.7826,3.0,2.15029,1.92296,35.0,60.0
158,118,forecast,2025-11-24 00:22:00,-27.5947,155.0352,39.0922,52.7163,13.4761,7.66568,43.214,4441.0,1000.69,8.875,262.125,133.425,61.932,1.75,50.7826,3.0,2.15029,1.92296,35.0,60.0
159,118,forecast,2025-11-24 00:27:00,-27.5769,155.0615,39.0922,52.7163,13.9014,7.90757,43.214,4441.0,1000.69,8.875,262.125,133.425,61.932,1.75,50.7826,3.0,2.15029,1.92296,35.0,60.0
160,118,forecast,2025-11-24 00:32:00,-27.5591,155.0878,39.0922,52.7163,14.314,8.14228,43.214,4441.0,1000.69,8.875,262.125,133.425,61.932,1.75,50.7826,3.0,2.15029,1.92296,35.0,60.0
161,118,forecast,2025-11-24 00:37:00,-27.5414,155.114,39.0922,52.7163,14.715,8.3704,43.214,4441.0,1000.69,8.875,262.125,133.425,61.932,1.75,50.7826,3.0,2.15029,1.92296,35.0,60.0
162,119,current,2025-11-24 00:07:00,-27.5211,155.0502,35.9945,53.1754,7.34789,4.53235,40.4991,4297.0,323.578,7.375,104.625,61.6339,56.364,2.5,16.7725,2.0,0.577347,0.0,35.0,0.0
163,119,forecast,2025-11-24 00:12:00,-27.505,155.0746,35.9945,53.1754,8.0697,4.97758,40.4991,4297.0,323.578,7.375,104.625,61.6339,56.364,2.5,16.7725,2.0,0.577347,0.0,35.0,0.0
